Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,22,50,10,0.7777777777777778,0.7552521008403361,0.7777777777777778,0.753908128908129
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,22,50,10,0.7222222222222222,0.616750208855472,0.7222222222222222,0.6633597883597884
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,22,50,10,0.7777777777777778,0.7705026455026456,0.7777777777777778,0.7625272331154682
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,22,50,10,0.75,0.6435185185185186,0.75,0.6910774410774411
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,183,50,10,0.8333333333333334,0.855119825708061,0.8333333333333334,0.8038720538720538
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,183,50,10,0.75,0.6485890652557319,0.75,0.6907894736842104
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,183,50,10,0.7222222222222222,0.6979166666666666,0.7222222222222222,0.6855413105413105
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,183,50,10,0.75,0.6485890652557319,0.75,0.6907894736842104
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,80,50,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,80,50,10,0.75,0.6681308887191241,0.75,0.7049663299663299
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,80,50,10,0.75,0.7957551707551708,0.75,0.7195145469139277
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,80,50,10,0.75,0.6433856104908737,0.75,0.6924001924001923
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,257,50,10,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,257,50,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,257,50,10,0.8333333333333334,0.866750208855472,0.8333333333333334,0.8296179582944289
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,501,257,50,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,1001,376,50,10,0.75,0.6466049382716049,0.75,0.694295900178253
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,1001,376,50,10,0.7222222222222222,0.621653038319705,0.7222222222222222,0.6669389978213507
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,1001,376,50,10,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7511555673320379
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,1001,376,50,10,0.75,0.6435185185185186,0.75,0.6910774410774411
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,101,62,50,10,0.6944444444444444,0.5964005130671797,0.6944444444444444,0.6404839713663243
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,101,62,50,10,0.75,0.6463443963443963,0.75,0.6930827886710238
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,101,62,50,10,0.75,0.6634399551066218,0.75,0.7039159097982628
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,101,62,50,10,0.7222222222222222,0.6284113060428851,0.7222222222222222,0.6712121212121213
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,41,50,20,0.75,0.7288359788359788,0.75,0.7337962962962963
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,41,50,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,41,50,20,0.8055555555555556,0.8215562053281352,0.8055555555555556,0.7912584491531859
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,41,50,20,0.8055555555555556,0.8245149911816578,0.8055555555555556,0.7919410454240174
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,158,50,20,0.8055555555555556,0.6944444444444444,0.8055555555555556,0.7456922162804516
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,158,50,20,0.75,0.6485890652557319,0.75,0.6907894736842104
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,158,50,20,0.6666666666666666,0.6737012987012987,0.6666666666666666,0.6310568086883876
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,158,50,20,0.75,0.6485890652557319,0.75,0.6907894736842104
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,62,50,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,62,50,20,0.7222222222222222,0.6240253411306043,0.7222222222222222,0.668831168831169
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,62,50,20,0.6944444444444444,0.5902777777777778,0.6944444444444444,0.6304220887554222
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,62,50,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,243,50,20,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,243,50,20,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,243,50,20,0.8333333333333334,0.8385854341736694,0.8333333333333334,0.8284231200897866
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,501,243,50,20,0.75,0.6640211640211641,0.75,0.7023420479302831
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,1001,351,50,20,0.75,0.6463443963443963,0.75,0.6930827886710238
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,1001,351,50,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,1001,351,50,20,0.7222222222222222,0.7631497043261749,0.7222222222222222,0.7247474747474748
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,1001,351,50,20,0.75,0.6485890652557319,0.75,0.6907894736842104
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,101,64,50,20,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,101,64,50,20,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,101,64,50,20,0.6944444444444444,0.6061507936507936,0.6944444444444444,0.6404320987654322
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,101,64,50,20,0.7222222222222222,0.6157407407407408,0.7222222222222222,0.6632996632996633
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,96,100,10,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,96,100,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,96,100,10,0.7777777777777778,0.7550705467372134,0.7777777777777778,0.7522585057414778
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,96,100,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,229,100,10,0.7222222222222222,0.6558641975308642,0.7222222222222222,0.6867201426024956
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,229,100,10,0.7222222222222222,0.6393298059964727,0.7222222222222222,0.67619825708061
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,229,100,10,0.8055555555555556,0.8204539125591758,0.8055555555555556,0.7948957360722066
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,229,100,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,90,100,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,90,100,10,0.7777777777777778,0.8281746031746032,0.7777777777777778,0.7591777995003801
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,90,100,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,90,100,10,0.7222222222222222,0.6157407407407408,0.7222222222222222,0.6632996632996633
