Type,214218_s_at,202605_at,213320_at,209218_at,202237_at,218104_at,214581_x_at,222250_s_at,219172_at,215427_s_at
1.0,2.6824,7.22858,7.41764,9.89734,3.0405,6.59406,6.77477,5.93539,2.64854,2.7159
1.0,9.20147,7.05292,7.58099,10.20098,3.04405,6.2996,8.68682,6.70853,2.66283,2.73618
1.0,9.49181,7.29137,7.27674,10.1178,3.03909,6.07566,9.74276,6.91037,2.65768,2.71743
1.0,2.41687,8.50297,7.3324,10.03173,2.93024,6.4064,9.06496,6.36257,2.59558,2.68964
1.0,2.64872,7.99081,7.55133,9.28952,2.89725,6.45309,8.32928,6.56438,2.61035,2.67913
1.0,2.58586,7.82231,7.41954,10.06911,2.92776,6.55087,8.01718,6.67432,2.57535,2.6718
1.0,2.61122,8.19561,6.95462,9.89897,2.9443,6.43955,7.33097,6.26668,2.32046,3.58036
1.0,2.68673,7.9034,7.57159,10.36816,3.01927,6.18245,8.43059,6.43125,2.40623,2.71853
1.0,2.59565,8.16054,7.59061,10.24929,2.79515,6.22377,8.33456,6.01794,2.58276,2.62604
1.0,9.74357,8.17168,7.64564,9.32589,3.17216,5.51757,8.24815,6.57783,2.67436,3.47276
1.0,2.70995,7.64991,7.78092,10.30974,3.07625,5.86933,8.37176,6.10117,2.69503,2.93577
1.0,2.67154,8.16422,7.34724,9.22385,2.94402,6.04619,6.5348,6.57393,2.574,2.72145
1.0,2.32649,8.08841,7.31073,9.30139,2.75188,6.05932,7.7666,6.73111,2.55731,2.69327
1.0,2.3656,8.49908,7.21669,9.30147,2.7963,6.31222,8.33513,6.74545,2.56906,2.60775
1.0,2.60732,7.84805,7.57452,10.0927,2.93399,6.17842,8.59991,6.06748,2.60957,2.68727
1.0,2.44665,7.84837,7.18063,10.03204,2.93521,6.1033,8.8779,6.4778,2.58405,2.68107
1.0,2.58662,8.1881,7.32215,9.97988,2.93366,6.20749,7.73309,6.14939,2.57725,2.69705
1.0,2.61952,8.19702,7.8731,9.86054,2.80329,6.00849,7.75022,6.28846,2.61262,2.69298
1.0,2.51032,7.13522,7.97318,9.91583,2.97544,6.5033,7.91239,6.59876,2.60399,2.69161
1.0,2.6302,8.40887,7.47845,9.46301,2.97933,6.26336,7.59461,6.47889,2.60997,2.6996
1.0,3.32653,8.14913,7.25235,10.22858,2.96771,6.05233,8.89666,6.15106,2.61751,2.70942
1.0,2.69338,7.86656,7.4406,9.83712,3.03454,6.38615,7.78779,6.72649,2.6683,2.71897
1.0,2.54383,8.00276,7.344,9.44764,2.9784,6.36298,7.74137,6.11863,2.60454,2.69262
