Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Train set,Test set,Accuracy,Precision,Sensitivity,F-measure
Filter approach,df_normalized_lung_cancer,Mutal Information,Naive Bayes,12601,1000,157,40,0.925,0.9267241379310345,0.925,0.9238721804511278
Filter approach,df_normalized_lung_cancer,Mutal Information,SVM,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Mutal Information,kNN,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Mutal Information,Random Forest,12601,1000,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,Naive Bayes,12601,1000,157,40,0.925,0.9267241379310345,0.925,0.9238721804511278
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,1000,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,1000,157,40,0.925,0.9267241379310345,0.925,0.9238721804511278
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,1000,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,ANOVA,Random Forest,12601,1000,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Mutal Information,Naive Bayes,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Mutal Information,SVM,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Mutal Information,kNN,12601,500,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Mutal Information,Random Forest,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,Naive Bayes,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,SVM,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,Chi2,kNN,12601,500,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
Filter approach,df_normalized_lung_cancer,Chi2,Random Forest,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,Naive Bayes,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,SVM,12601,500,157,40,0.95,0.9550000000000001,0.95,0.9496031746031747
Filter approach,df_normalized_lung_cancer,ANOVA,kNN,12601,500,157,40,0.975,0.9800000000000001,0.975,0.9761616161616162
