Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Lambda,Accuracy,Precision,Sensitivity,F-measure,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,1.00E-15,0.575,0.660357143,0.575,0.593434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,1.00E-15,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,1.00E-15,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,1.00E-15,0.75,0.768627451,0.75,0.722334869,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,1.00E-15,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,1.00E-15,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,1.00E-15,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,1.00E-15,0.675,0.7,0.675,0.635555556,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,50,1.00E-15,0.625,0.78375,0.625,0.644415584,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,50,1.00E-15,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,50,1.00E-15,0.7,0.605555556,0.7,0.635416667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,50,1.00E-15,0.7,0.597368421,0.7,0.612727273,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,100,1.00E-15,0.75,0.815808081,0.75,0.763205128,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,100,1.00E-15,0.8,0.644444444,0.8,0.7125,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,100,1.00E-15,0.8,0.79375,0.8,0.781666667,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,100,1.00E-15,0.825,0.847727273,0.825,0.801338798,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,200,1.00E-15,0.725,0.857142857,0.725,0.744362883,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,200,1.00E-15,0.875,0.893939394,0.875,0.849289617,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,200,1.00E-15,0.75,0.751960784,0.75,0.717572965,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,200,1.00E-15,0.875,0.874252874,0.875,0.870342523,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,500,1.00E-15,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,500,1.00E-15,0.9,0.905,0.9,0.893390805,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,500,1.00E-15,0.8,0.783333333,0.8,0.786781609,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,500,1.00E-15,0.8,0.810416667,0.8,0.778809524,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,1000,1.00E-15,0.75,0.861587302,0.75,0.766889848,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,1000,1.00E-15,0.9,0.91474359,0.9,0.903148148,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,1000,1.00E-15,0.825,0.808448276,0.825,0.81125731,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,1000,1.00E-15,0.8,0.810416667,0.8,0.778809524,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,10,1.00E-10,0.575,0.660357143,0.575,0.593434343,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,10,1.00E-10,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,10,1.00E-10,0.7,0.547368421,0.7,0.606060606,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,10,1.00E-10,0.75,0.768627451,0.75,0.722334869,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Naive Bayes,12601,20,1.00E-10,0.55,0.685042017,0.55,0.574776335,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,SVM,12601,20,1.00E-10,0.7,0.49,0.7,0.576470588,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,kNN,12601,20,1.00E-10,0.675,0.541891892,0.675,0.593333333,,,
Embedded approach,df_normalized_lung_cancer,Ridge regression,Random Forest,12601,20,1.00E-10,0.775,0.784848485,0.775,0.751007026,,,
